"issue_id","metric","scenario","frequency_khz","value","unit","note"
"4-R1","target_relative_error_rms_percent","feeder_A","2","15.600289314370242","percent","Feeder A max RMS relative error bin in available per-frequency detail"
"4-R1","pred_rms_abs_v","feeder_A","2","1.6765536636566445","V","Analytical RMS at target bin"
"4-R1","mc_rms_abs_v","feeder_A","2","1.9864447994394623","V","Monte Carlo RMS at target bin"
"4-R1","abs_voltage_error_signed","feeder_A","2","-0.3098911357828178","V","under-predict"
"4-R1","abs_voltage_error_magnitude","feeder_A","2","0.3098911357828178","V","Absolute difference between analytical and MC RMS"
"4-R1","hosting_tau","figure_8_assumption","2","0.3","V","From Figure 8 generation config (P99 limit)"
"4-R1","hosting_alpha","figure_8_assumption","2","0.01","probability","Assumed for P99 compatibility inversion"
"4-R1","hosting_lambda_ref","figure_8_assumption","2","12","per_km2","Baseline simulation density used for scaling"
"4-R1","hosting_lambda_max_analytical","feeder_A","2","0.08343401690870876","per_km2","Computed from analytical RMS at target bin"
"4-R1","hosting_lambda_max_mc","feeder_A","2","0.05943264640879853","per_km2","Computed from MC RMS at target bin"
"4-R1","hosting_lambda_max_delta_analytical_minus_mc","feeder_A","2","0.024001370499910232","per_km2","analytical higher than MC (non-conservative)"
"4-R2","p95_abs_v","clustered","10","2.542832128243534","V","Spatial process comparison"
"4-R2","p99_abs_v","clustered","10","3.4790174116594352","V","Spatial process comparison"
"4-R2","rms_abs_v","clustered","10","1.3395357631712939","V","Included for completeness"
"4-R2","p95_abs_v","ppp","10","2.018183379426511","V","Spatial process comparison"
"4-R2","p99_abs_v","ppp","10","2.8104811440660287","V","Spatial process comparison"
"4-R2","rms_abs_v","ppp","10","1.0777015660504288","V","Included for completeness"
"4-R2","p95_abs_v","repulsive","10","1.6817535071520933","V","Spatial process comparison"
"4-R2","p99_abs_v","repulsive","10","2.1713174689708192","V","Spatial process comparison"
"4-R2","rms_abs_v","repulsive","10","0.9082570001577565","V","Included for completeness"
"4-R2","p95_abs_v","clustered","30","2.226294308325354","V","Spatial process comparison"
"4-R2","p99_abs_v","clustered","30","3.0456656856956874","V","Spatial process comparison"
"4-R2","rms_abs_v","clustered","30","1.2378617416153268","V","Included for completeness"
"4-R2","p95_abs_v","ppp","30","1.8379566561925458","V","Spatial process comparison"
"4-R2","p99_abs_v","ppp","30","2.51949558565991","V","Spatial process comparison"
"4-R2","rms_abs_v","ppp","30","0.9958844708518799","V","Included for completeness"
"4-R2","p95_abs_v","repulsive","30","1.4588429890695416","V","Spatial process comparison"
"4-R2","p99_abs_v","repulsive","30","1.976096771766702","V","Spatial process comparison"
"4-R2","rms_abs_v","repulsive","30","0.8261466092813662","V","Included for completeness"
