feeder_id,feeder_name,density,geometry,rms_rel_diff_mean,rms_rel_diff_p90,rms_rel_diff_max,rms_worst_frequency_khz,p95_rel_diff_mean,p95_rel_diff_p90,p95_rel_diff_max,p95_worst_frequency_khz,p99_rel_diff_mean,p99_rel_diff_p90,p99_rel_diff_max,p99_worst_frequency_khz
A,urban_short,6.0,star_branch,0.0696751136801067,0.0920237795757478,0.0959019419418303,76.0,0.0712144410730803,0.0949351078263854,0.1020148040708141,86.0,0.0727818083399759,0.0969255847611505,0.1048988021895667,73.0
A,urban_short,9.0,star_branch,0.0697238485651629,0.0930515330451124,0.0959923192143421,77.0,0.0699801432210678,0.0939957385141088,0.100609314519372,77.0,0.0732834608256951,0.0990254311675256,0.1087847614488826,71.0
A,urban_short,12.0,star_branch,0.0696181550298736,0.0925628796261404,0.0946931609375921,82.0,0.0698797379615229,0.0942081712407292,0.0995291054758537,75.0,0.0715850354258213,0.0970231592561769,0.1066656806201188,91.0
A,urban_short,15.0,star_branch,0.0696735902158218,0.0923260525304069,0.0950172403223091,71.0,0.0705323078038742,0.0944807928975389,0.0995283261392615,78.0,0.0716850439417454,0.0972948176438282,0.1185403324002113,72.0
A,urban_short,18.0,star_branch,0.0698331771972365,0.0925746876773586,0.0952100838496134,78.0,0.0699390392892004,0.0939926537082367,0.1054666807477713,72.0,0.0721759957566269,0.095823500706905,0.1121002588091892,84.0
B,suburban_medium,6.0,star_branch,0.0900709890485444,0.1103484775062725,0.1129483340748677,84.0,0.0917567537149685,0.1138914709981461,0.1233678908991506,77.0,0.0950797914257422,0.1197934663579981,0.1363745586869476,81.0
B,suburban_medium,9.0,star_branch,0.0900205918794164,0.110342375891726,0.1131897991715733,77.0,0.090906716559773,0.1122738510607408,0.1250985472524922,76.0,0.0932031929131139,0.117351730190018,0.1300856755322756,77.0
B,suburban_medium,12.0,star_branch,0.0900920639796394,0.1103498073829501,0.1137298194217286,83.0,0.0911357481810243,0.112739617359016,0.1208189201388836,82.0,0.0937578510264286,0.1163561580749955,0.1288526682818945,85.0
B,suburban_medium,15.0,star_branch,0.0900644246937143,0.1104196211428736,0.1125715154129199,79.0,0.0912552958196529,0.1134755315982782,0.1206967474020905,79.0,0.0940153339316673,0.1169663911923352,0.1322456178239161,81.0
B,suburban_medium,18.0,star_branch,0.0901159325804187,0.1102942454085283,0.1128958849213637,78.0,0.0909094574560418,0.1115972467874793,0.1198745590143239,82.0,0.0923616827520719,0.115710063160344,0.1245759854196402,102.0
C,rural_long,6.0,star_branch,0.1054490152507214,0.12798817643684,0.1301030664564843,87.0,0.1083001436702967,0.1308106213903569,0.1442822824683798,92.0,0.1110008478180925,0.1351709382107024,0.1493110192997167,99.0
C,rural_long,9.0,star_branch,0.105557529344708,0.1276858422500188,0.1304958514311932,81.0,0.1072357572882739,0.1310779279403957,0.1399301453033895,63.0,0.1109323929348888,0.1353109782983042,0.1469246626843067,97.0
C,rural_long,12.0,star_branch,0.1054898804230811,0.1277218490924721,0.1317870721537016,81.0,0.1070786517168168,0.1295903453375108,0.1376163024386816,67.0,0.1090867603502144,0.1341716606221052,0.1467635234435137,95.0
C,rural_long,15.0,star_branch,0.1055633016071599,0.1281926005844148,0.1303911049971471,77.0,0.1069521867439076,0.1306401758314164,0.1391126099154914,72.0,0.1085295730356892,0.135298057285702,0.1513809064126006,86.0
C,rural_long,18.0,star_branch,0.1057428426487326,0.1281159412819593,0.1303217792667122,74.0,0.1074394604844815,0.1315224175184831,0.1406785492229186,95.0,0.1081836274189624,0.1339520414908823,0.1468837253847842,81.0
