feeder_id,feeder_name,density,geometry,rms_rel_diff_mean,rms_rel_diff_p90,rms_rel_diff_max,rms_worst_frequency_khz,p95_rel_diff_mean,p95_rel_diff_p90,p95_rel_diff_max,p95_worst_frequency_khz,p99_rel_diff_mean,p99_rel_diff_p90,p99_rel_diff_max,p99_worst_frequency_khz
A,urban_short,6.0,two_level_branch,0.1115960775838775,0.14990345716369,0.156742955682835,73.0,0.1123276402525794,0.1521583050915466,0.1653243957499154,57.0,0.1099880628049505,0.1495913757584675,0.1697391948191196,49.0
A,urban_short,9.0,two_level_branch,0.1149489370393688,0.1542638485039996,0.1614111657415361,68.0,0.1131182175250414,0.1532207475848608,0.1636184744287217,56.0,0.1135948731477022,0.1542143355429694,0.1724353443050969,68.0
A,urban_short,12.0,two_level_branch,0.1224877021951923,0.1651645030784988,0.1722744673433995,70.0,0.122449335843712,0.1650923061719541,0.1794395830715625,70.0,0.1230217524880843,0.1678515607856035,0.1864603669335128,61.0
A,urban_short,15.0,two_level_branch,0.1061518900313777,0.1426202313874777,0.1501634827369601,68.0,0.1055186509059131,0.1434328014907729,0.1536948325909305,78.0,0.1040352968389892,0.145516928747798,0.1593472634914974,54.0
A,urban_short,18.0,two_level_branch,0.1010103571685399,0.1352935944170338,0.1410328717852634,51.0,0.1012340556944749,0.1349295861667783,0.1454445248647716,73.0,0.0996374049175317,0.1376398558076787,0.1554889738274017,57.0
B,suburban_medium,6.0,two_level_branch,0.1496885717288044,0.1923389655131432,0.1981932486881716,67.0,0.1482187254173832,0.1903947616687489,0.210478207539741,77.0,0.148214273103195,0.1929240843001982,0.2146078625650831,42.0
B,suburban_medium,9.0,two_level_branch,0.1533622845155884,0.1959972334995719,0.2023394978444788,72.0,0.1525677665260182,0.1979559063505983,0.2078589654005984,65.0,0.1523828967896345,0.1960616955705773,0.2233528175788044,72.0
B,suburban_medium,12.0,two_level_branch,0.1204317819248717,0.1582051770828106,0.1621496262674992,69.0,0.1198427636524292,0.158302387262721,0.1711970563310346,65.0,0.1196345100664915,0.159361342998758,0.1791260760465348,49.0
B,suburban_medium,15.0,two_level_branch,0.1437812135124992,0.1859606247681648,0.1922268376577196,75.0,0.1435840556135889,0.1849364851948641,0.1999213360763485,68.0,0.1432845681174757,0.1903535124376495,0.2135948402958323,70.0
B,suburban_medium,18.0,two_level_branch,0.1651731648215944,0.2090850497812666,0.2141462286712059,69.0,0.164511348644602,0.2098627793485479,0.2285023973539325,89.0,0.1638450187252779,0.2097894863481185,0.2307831638983243,79.0
C,rural_long,6.0,two_level_branch,0.1630118475531078,0.2095178812572546,0.2126166473628328,65.0,0.1607813427286085,0.2065034901083452,0.2197435939616515,74.0,0.1582297589624809,0.2078565011417829,0.2263021050416749,51.0
C,rural_long,9.0,two_level_branch,0.1871415626660605,0.2339423326717146,0.2403771533237173,71.0,0.1862363860391007,0.235420900441015,0.2478833390598138,64.0,0.1841772326440545,0.230868252438108,0.2557507587993965,71.0
C,rural_long,12.0,two_level_branch,0.1375461153775817,0.1812542066382093,0.1852109105503755,58.0,0.1375724926431398,0.1806831507470941,0.1942852658574855,59.0,0.1356220075302128,0.1814660685830092,0.2007125691576738,53.0
C,rural_long,15.0,two_level_branch,0.1587542830546764,0.2027768561276508,0.20609884718353,61.0,0.1580376605839942,0.2020822034981357,0.2138936715964776,62.0,0.1556743930346365,0.2030572336310396,0.2196531458108811,65.0
C,rural_long,18.0,two_level_branch,0.1736720291436161,0.2205546512453566,0.223861295458741,73.0,0.1735872277513231,0.2219096232164163,0.2339922828237367,65.0,0.1696088987999649,0.2181804188214734,0.2493156224069438,82.0
