frequency_khz,mean_abs_v,var_v,rms_abs_v,p95_abs_v,p99_abs_v,exceedance_probability,exceedance_threshold_v,density_scaling
2.0,0.155599749105923,0.01002101397243866,0.18501971758238323,0.3445137094542202,0.5145043405321428,0.0002745890607760426,1.0,3.4641016151377544
3.0,0.1300195693423341,0.006996991226181422,0.15460297422154415,0.2878765833052531,0.42992121237427144,8.471093787187911e-05,1.0,3.4641016151377544
4.0,0.11654270708641103,0.005621653666266997,0.13857797891907644,0.2580374361712114,0.38535877466297375,3.962412796121306e-05,1.0,3.4641016151377544
5.0,0.10816533106721651,0.0048425046974789904,0.1286166534409893,0.23948907150835552,0.35765823948273157,2.3164239544959386e-05,1.0,3.4641016151377544
6.0,0.1024520907179678,0.00434445730605793,0.12182318415860191,0.22683937485374653,0.338766904663221,1.5525103360558568e-05,1.0,3.4641016151377544
7.0,0.09832084767831392,0.004001152563374025,0.11691082777722615,0.21769238154285622,0.3251065839499261,1.1399074494877759e-05,1.0,3.4641016151377544
8.0,0.09521365152423328,0.003752254827165638,0.1132161395903595,0.21081273244833554,0.31483236488887223,8.928549500630822e-06,1.0,3.4641016151377544
9.0,0.09281263789097903,0.003565398811327742,0.11036115513897876,0.20549664345721846,0.30689320082797633,7.337025066167513e-06,1.0,3.4641016151377544
10.0,0.09092359162504562,0.003421740327868886,0.10811493810693762,0.2013141024174876,0.30064690217471096,6.256110756885924e-06,1.0,3.4641016151377544
11.0,0.08942196337666218,0.0033096516477712,0.10632939001944999,0.1979893443697116,0.2956816354818126,5.493859318583816e-06,1.0,3.4641016151377544
12.0,0.08822555397994665,0.003221682002479638,0.10490676993191678,0.19534037197960996,0.2917256019329119,4.94303089570991e-06,1.0,3.4641016151377544
13.0,0.08727985688614219,0.003152985211926685,0.1037822654888211,0.19324650219075268,0.288598570800877,4.540718481660377e-06,1.0,3.4641016151377544
14.0,0.0865499422213642,0.0031004693859703605,0.10291434246251512,0.19163039670091336,0.2861850433665191,4.2491017684387344e-06,1.0,3.4641016151377544
15.0,0.08601587049350579,0.0030623234537833144,0.1022792913083527,0.19044790744153892,0.2844190879346014,4.045717421741202e-06,1.0,3.4641016151377544
16.0,0.08566966399765474,0.0030377218851070226,0.10186762593963837,0.1896813709605475,0.2832743255178281,3.918243347333927e-06,1.0,3.4641016151377544
17.0,0.08551143743234595,0.003026511278831483,0.10167948274149263,0.18933104121219027,0.28275113537705593,3.861104313163111e-06,1.0,3.4641016151377544
18.0,0.08554004381478096,0.0030285365522498813,0.1017134978657431,0.18939437865960512,0.28284572491215687,3.871383142506346e-06,1.0,3.4641016151377544
19.0,0.08572994853524175,0.003041998593635858,0.10193930875521502,0.1898148470733701,0.28347366167636123,3.94019724725414e-06,1.0,3.4641016151377544
20.0,0.08598944833361648,0.0030604423876010407,0.10224787338776654,0.19038940608554333,0.284331720724645,4.035868973240042e-06,1.0,3.4641016151377544
21.0,0.0861323929568617,0.003070625902206121,0.10241784521596498,0.19070590005602675,0.28480437977157796,4.089387594774507e-06,1.0,3.4641016151377544
22.0,0.08595617600878126,0.0030580744614236086,0.10220831010967842,0.19031573776591557,0.284221702838076,4.023495542071487e-06,1.0,3.4641016151377544
23.0,0.08542178014932114,0.003020168115059116,0.10157287353884437,0.18913253084612647,0.28245467563633253,3.829035397417968e-06,1.0,3.4641016151377544
24.0,0.08469164468262681,0.0029687594985915835,0.10070468796257646,0.1875159364783314,0.2800404181008979,3.5760185681521506e-06,1.0,3.4641016151377544
25.0,0.08396135109349442,0.0029177811889265362,0.09983631436692549,0.1858989920113363,0.2776256377196285,3.337002892456198e-06,1.0,3.4641016151377544
26.0,0.08333747155001726,0.0028745808142719934,0.09909447501562299,0.18451765909138676,0.2755627247976438,3.143481890011124e-06,1.0,3.4641016151377544
27.0,0.08284477523311583,0.0028406918867496965,0.09850862231386234,0.18342677921050335,0.27393358082365554,2.997336097765313e-06,1.0,3.4641016151377544
28.0,0.08247034223846711,0.002815071801866573,0.09806339353090156,0.1825977463832031,0.27269548499064694,2.890092664742383e-06,1.0,3.4641016151377544
29.0,0.08219173179482012,0.0027960835555804857,0.0977321049144657,0.18198087445387776,0.27177423490253544,2.8123848778704996e-06,1.0,3.4641016151377544
30.0,0.08198802517309435,0.0027822409247178605,0.0974898825340446,0.1815298472234717,0.2711006609303712,2.7566771005904656e-06,1.0,3.4641016151377544
31.0,0.08184260274816191,0.0027723799382919677,0.0973169644146662,0.18120786714741638,0.27061980881288134,2.7174734532620093e-06,1.0,3.4641016151377544
32.0,0.08174286351034929,0.0027656268155369116,0.09719836701513306,0.18098703430549737,0.27029001219642923,2.690854838727219e-06,1.0,3.4641016151377544
33.0,0.08167948074301722,0.0027613395881749105,0.09712300017309922,0.1808466983961239,0.27008043146705984,2.6740523304535913e-06,1.0,3.4641016151377544
34.0,0.08164551360405703,0.0027590434104335137,0.09708261070914696,0.18077149168718026,0.26996811611609767,2.665083838282456e-06,1.0,3.4641016151377544
35.0,0.08163574133881753,0.002758382982462446,0.09707099075625408,0.18074985489556092,0.2699358032562669,2.662508274076103e-06,1.0,3.4641016151377544
36.0,0.08164617937134963,0.0027590884071092593,0.09708340235615899,0.1807729657638476,0.269970317534569,2.66525938241724e-06,1.0,3.4641016151377544
37.0,0.08167373729995911,0.0027609512644748545,0.0971161707905413,0.1808339818275925,0.2700614402643107,2.6725340991351487e-06,1.0,3.4641016151377544
38.0,0.08171597887230442,0.0027638079252840335,0.09716639917349482,0.18092750897571117,0.27020111576152356,2.6837171174243224e-06,1.0,3.4641016151377544
39.0,0.08177095297905021,0.0027675278581983254,0.09723176749036483,0.18104922725320036,0.27038289251052283,2.6983293321958257e-06,1.0,3.4641016151377544
40.0,0.08183707362519577,0.0027720053580298464,0.09731038987469713,0.18119562510542062,0.270601526278483,2.7159921061059578e-06,1.0,3.4641016151377544
41.0,0.08191303370992187,0.002777153623304755,0.09740071208603945,0.18136380847788625,0.27085269502087067,2.736402119674075e-06,1.0,3.4641016151377544
42.0,0.08199774229702811,0.002782900459617564,0.0975014369198085,0.18155136192661797,0.27113279146059466,2.75931339710489e-06,1.0,3.4641016151377544
43.0,0.08209027836377919,0.0027891851197293076,0.09761146921121544,0.18175624621337227,0.2714387701544728,2.784524260723842e-06,1.0,3.4641016151377544
44.0,0.08218985623895152,0.0027959559478279127,0.09772987473852317,0.18197672178195323,0.27176803321107484,2.8118677235511313e-06,1.0,3.4641016151377544
45.0,0.08229579943238972,0.0028031685997339057,0.09785584910443536,0.18221129081418214,0.2721183437558348,2.841204312042933e-06,1.0,3.4641016151377544
46.0,0.08240752056280891,0.0028107846807947723,0.0979886938687548,0.18245865278800463,0.27248775956055243,2.872416633659114e-06,1.0,3.4641016151377544
47.0,0.08252450577174425,0.0028187706904816857,0.0981277980154061,0.18271766996838676,0.2728745815067389,2.905405210418266e-06,1.0,3.4641016151377544
48.0,0.08264630247759676,0.0028270971949469603,0.0982726233910817,0.18298734029352326,0.2732773130932852,2.9400852465943927e-06,1.0,3.4641016151377544
49.0,0.08277250964576106,0.0028357381710260986,0.09842269313569765,0.18326677583190837,0.2736946282637782,2.976384092967521e-06,1.0,3.4641016151377544
50.0,0.082902769975673,0.0028446704806535644,0.0985775823922098,0.18355518548366268,0.2741253455722825,3.0142392350995806e-06,1.0,3.4641016151377544
51.0,0.0830367635642748,0.0028538734455688013,0.09873691077200095,0.1838518609507989,0.27456840723102693,3.0535966839551065e-06,1.0,3.4641016151377544
52.0,0.08317420271855036,0.0028633284999555857,0.09890033618659795,0.1841561652516464,0.275022861957594,3.094409673387588e-06,1.0,3.4641016151377544
53.0,0.08331482767131561,0.002873018904246661,0.09906754975342671,0.18446752323517376,0.275487850808801,3.1366376002095464e-06,1.0,3.4641016151377544
54.0,0.08345840301381577,0.002882929507389895,0.09923827155390398,0.18478541368239565,0.27596259538476714,3.180245151890304e-06,1.0,3.4641016151377544
55.0,0.08360471470232682,0.002893046547857085,0.099412247074063,0.1851093626786831,0.2764463879309766,3.225201585133064e-06,1.0,3.4641016151377544
56.0,0.08375356752836831,0.0029033574858907483,0.09958924419644774,0.18543893801255712,0.2769385829733136,3.2714801240230074e-06,1.0,3.4641016151377544
57.0,0.08390478296641925,0.002913850861141835,0.09976905064088638,0.18577374441031178,0.2774385902013441,3.319057455319907e-06,1.0,3.4641016151377544
58.0,0.08405819733139644,0.002924516171103883,0.09995147177359553,0.18611341945648338,0.27794586837585467,3.3679133019104412e-06,1.0,3.4641016151377544
59.0,0.08421366019216356,0.0029353437667037074,0.10013632872072403,0.18645763008119842,0.2784599200829803,3.4180300607644654e-06,1.0,3.4641016151377544
60.0,0.08437103299811811,0.0029463247621425315,0.1003234567352624,0.18680606951929624,0.27898028719289275,3.4693924934048326e-06,1.0,3.4641016151377544
61.0,0.08453018788425966,0.0029574509566498023,0.10051270377617966,0.18715845466462863,0.27950654690865206,3.5219874614522695e-06,1.0,3.4641016151377544
62.0,0.0846910066266772,0.002968714766256232,0.10070392926641995,0.1875145237574028,0.2800383083124344,3.5758036966981877e-06,1.0,3.4641016151377544
63.0,0.08485337972553508,0.0029801091640415077,0.10089700300250427,0.18787403435381791,0.28057520933334273,3.6308316040400967e-06,1.0,3.4641016151377544
