scenario_name,density,region_radius_m,coherence,seed,frequency_khz,mean_abs_v,var_v,rms_abs_v,p90_abs_v,p95_abs_v,p99_abs_v,exceedance_probability,exceedance_threshold_v,sample_size,exceedance_probability_fixed_tau03,exceedance_tau_fixed_v
ppp,12.0,500.0,0.0,7,2.0,0.13975810742240574,0.011410971479650346,0.17590707794157417,0.26920831423537495,0.34944358366499495,0.5380597008520311,0.0,1.0,1024,0.0751953125,0.3
ppp,12.0,500.0,0.0,7,3.0,0.12157684716855954,0.007683118160643605,0.14988011184974107,0.23610180954394097,0.2907270425391618,0.41613992846598863,0.0,1.0,1024,0.04296875,0.3
ppp,12.0,500.0,0.0,7,4.0,0.11165517862483303,0.006126067962315428,0.1363559565111066,0.2135394015665128,0.25944383092840356,0.36370999107100643,0.0,1.0,1024,0.0263671875,0.3
ppp,12.0,500.0,0.0,7,5.0,0.1049565607130275,0.005205146014712496,0.12736179039028905,0.2015275851209607,0.24333900083526946,0.33237444555759427,0.0,1.0,1024,0.021484375,0.3
ppp,12.0,500.0,0.0,7,6.0,0.10014797474665804,0.004645712051044422,0.12114177189104376,0.19121425116796134,0.23073315196333968,0.32255808332209696,0.0,1.0,1024,0.0166015625,0.3
ppp,12.0,500.0,0.0,7,7.0,0.09680413350204227,0.004242206050755969,0.11667581717664201,0.18768545016872779,0.21978934635739455,0.3069778269290662,0.0,1.0,1024,0.01171875,0.3
ppp,12.0,500.0,0.0,7,8.0,0.09413732658644025,0.0039827838930302974,0.11333410850168808,0.1821972631166873,0.21243983938083807,0.29514163205644584,0.0,1.0,1024,0.009765625,0.3
ppp,12.0,500.0,0.0,7,9.0,0.09213979362320952,0.00376897890624501,0.1107191061884653,0.1762344921760835,0.2083534530189232,0.2844347389773634,0.0,1.0,1024,0.0078125,0.3
ppp,12.0,500.0,0.0,7,10.0,0.09040724611543638,0.0035698968534737144,0.10836681689359895,0.1734668624755534,0.20300175375462806,0.28275365184376233,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,7,11.0,0.08915186103899296,0.0034565761000038045,0.10679246427871077,0.16816391581146983,0.20227687225777546,0.28255290129856103,0.0,1.0,1024,0.0078125,0.3
ppp,12.0,500.0,0.0,7,12.0,0.08819269072799193,0.0033326248156046252,0.10540671474554104,0.16522285727717595,0.19798355974280527,0.27871524676081505,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,7,13.0,0.08742611104740435,0.0032511489163814145,0.10437659608003362,0.16247189341838478,0.19891452521839226,0.27176221953050517,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,14.0,0.08683979496743598,0.003202680780305658,0.10365245182962136,0.1591524146139778,0.1922558279015821,0.27585757741588585,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,7,15.0,0.08663634136862151,0.0031682688288129906,0.10331565454737879,0.15909249916496826,0.19516403606887422,0.26841243389717684,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,7,16.0,0.08647324005736101,0.0031265697134918572,0.10297665249710657,0.1579577372623284,0.1923404657905313,0.26800909367924663,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,7,17.0,0.08616334655807137,0.0031173367109996438,0.10267160757037923,0.15552821406374656,0.19108914300892765,0.2656265301888062,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,7,18.0,0.08652783917137347,0.0031544703683886164,0.10315782723601583,0.156982738408608,0.19247709342970148,0.26178070414404075,0.0,1.0,1024,0.0087890625,0.3
ppp,12.0,500.0,0.0,7,19.0,0.08674306829270308,0.0031359160001487034,0.10324861208259051,0.15388880453115913,0.19189501803957312,0.2612213992534375,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,7,20.0,0.08699852260898794,0.003130588589055634,0.10343757308252267,0.15647330288495034,0.1923485233175352,0.26730423507815626,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,7,21.0,0.08733217966979553,0.0031451209908536265,0.10378839336231713,0.15771516830543444,0.19325783732665497,0.26758819772831055,0.0,1.0,1024,0.0078125,0.3
ppp,12.0,500.0,0.0,7,22.0,0.08733315120879705,0.0031043377376224106,0.10359255300300799,0.1592866082816702,0.19305105047521004,0.2646659201250941,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,7,23.0,0.08677471533881574,0.003106988497155516,0.10313505572446267,0.1547830653273739,0.18775849458750798,0.2782894828782501,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,7,24.0,0.08610314751437423,0.003037351645575764,0.10223063952386219,0.154490409734943,0.18316895227302582,0.2666696963592841,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,7,25.0,0.08566289981941655,0.0030106316009146095,0.10172887498830412,0.1534513749507833,0.1853861489361463,0.26285254033254,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,7,26.0,0.08524744627153413,0.0029911504571676836,0.10128315532696333,0.1523734495994062,0.1868686098598721,0.2593942727606543,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,7,27.0,0.0846404654993378,0.0029544449269133088,0.10059052304694464,0.1505656239961682,0.18399736877921138,0.25703295100414586,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,28.0,0.08438390283778437,0.002920425114074458,0.10020513046850989,0.14719161265718173,0.1836724938232318,0.25121939015804434,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,7,29.0,0.08399569909256267,0.002914232715673545,0.09984743452749238,0.14763399352305323,0.1841299936366046,0.2516238136870951,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,7,30.0,0.08393984110806389,0.002928856460275684,0.09987368715293682,0.1480955206554754,0.18433768254117092,0.2526679194040809,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,7,31.0,0.08371021760855943,0.0028994463289587625,0.09953314453502982,0.14612798544707994,0.18183932673149075,0.2475207692370292,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,32.0,0.08363651112512378,0.0028961348751532904,0.09945451658087853,0.1473198942209972,0.18293998695024574,0.25062151617729755,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,33.0,0.08364014872768667,0.0029194432762100976,0.09957468430981664,0.14682863416969466,0.18171465214785332,0.2478936453648995,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,34.0,0.0836991124255112,0.0029627062355267156,0.09984111205482979,0.14982914182849733,0.1835202010394791,0.2511282062912262,0.0,1.0,1024,0.00390625,0.3
ppp,12.0,500.0,0.0,7,35.0,0.08353683833759229,0.00292699606417387,0.0995258731366618,0.14754694637458127,0.1826320783364681,0.244903058673642,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,36.0,0.08355742923411709,0.0030124673945699184,0.09997155282771396,0.14821794041381428,0.1805138632248833,0.24974326266329616,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,7,37.0,0.08366203655717147,0.0030154523985214767,0.10007391647884563,0.14892747100790246,0.1827560250848069,0.25519678079159575,0.0,1.0,1024,0.00390625,0.3
ppp,12.0,500.0,0.0,7,38.0,0.08362647811266972,0.003002903823265539,0.09998145660468429,0.1492047406076603,0.1809637633645699,0.2591941871728584,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,39.0,0.08360849743363724,0.0029394849718866805,0.0996487120588982,0.1505570038103404,0.17777775191365405,0.25012032138032014,0.0,1.0,1024,0.00390625,0.3
ppp,12.0,500.0,0.0,7,40.0,0.08355454374590433,0.0030520190412617796,0.10016676505632005,0.14962162163830406,0.1780495136479893,0.26325449284424407,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,41.0,0.08371764263852513,0.0031393144045669934,0.10073707407662184,0.1502017068126982,0.18025655138336255,0.2646444399363565,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,42.0,0.08372868213784579,0.003144794220433946,0.10077344110912538,0.14936395101872565,0.17804086140974956,0.2632228838519616,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,7,43.0,0.08366375192766752,0.003133925128938304,0.10066552794056462,0.15132247037673746,0.17987783948338423,0.2546051921868431,0.0,1.0,1024,0.0048828125,0.3
